Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
148,Ronnie Edwards,eng ENG,DF,Southampton,21-330,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
149,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-300,2002,17.2,0.17,1.74,0.76,43.3,1.74,0.76,0.1,0.23,17.2,0.23,0,0,0.15,0.15,0.09,0.02,0.02,Matches
150,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-323,2003,0.9,0,2.22,0,0,2.2,0,0,,13.4,0,0,0,0.11,0.11,0.03,-0.11,-0.11,Matches
151,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-042,2006,0.2,0,5,0,0,4.29,0,0,,21.4,0,0,0,1,1,0.15,-1,-1,Matches
152,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-029,2004,1.3,0,5.38,2.31,42.9,5.43,2.33,0,0,24.8,0.77,0,0,0.31,0.31,0.06,-0.31,-0.31,Matches
153,Julio Enciso,py PAR,"MF,FW",Brighton,21-029,2004,3.3,0,6.06,3.33,55,6.12,3.37,0,0,21.3,0.3,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
154,Wataru Endo,jp JPN,MF,Liverpool,32-012,1993,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
155,Christian Eriksen,dk DEN,MF,Manchester Utd,33-007,1992,7.1,0,0.42,0,0,0.42,0,0,,22.3,0,0,0,0.01,0.01,0.04,-0.01,-0.01,Matches
156,Romain Esse,eng ENG,MF,Crystal Palace,19-284,2005,0.1,10,10,10,100,12.86,12.86,1,1,2.8,0,0,0,3,3,0.32,7,7,Matches
157,Pervis Estupinan,ec ECU,DF,Brighton,27-031,1998,15.7,0,0.89,0.25,28.6,0.89,0.25,0,0,25.5,0.13,0,0,0.04,0.04,0.04,-0.04,-0.04,Matches
158,Evanilson,br BRA,FW,Bournemouth,25-138,1999,15.2,0.33,2.76,1.32,47.6,2.76,1.31,0.12,0.25,13.5,0,0,0.07,0.43,0.38,0.14,-0.11,-0.05,Matches
159,Jonny Evans,nir NIR,DF,Manchester Utd,37-049,1988,3.2,0,0.31,0,0,0.31,0,0,,8.4,0,0,0,0.03,0.03,0.1,-0.03,-0.03,Matches
160,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-237,1998,18.4,0.11,3.75,1.03,27.5,3.75,1.03,0.03,0.11,21.1,0.54,0,0,0.28,0.28,0.07,-0.17,-0.17,Matches
161,Lukasz Fabianski,pl POL,GK,West Ham,39-309,1985,11.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
162,Wout Faes,be BEL,DF,Leicester City,26-324,1998,19.3,0.05,0.47,0.05,11.1,0.47,0.05,0.11,1,8.4,0,0,0,0.06,0.06,0.13,-0.01,-0.01,Matches
163,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-350,2004,6.4,0,2.03,0.78,38.5,2.02,0.78,0,0,31.2,0,0,0,0.06,0.06,0.03,-0.06,-0.06,Matches
164,Joao Felix,pt POR,"FW,MF",Chelsea,25-103,1999,4.1,0.24,4.88,1.22,25,4.88,1.22,0.05,0.2,15.9,0,0,0,0.54,0.54,0.11,-0.29,-0.29,Matches
165,Evan Ferguson,ie IRL,FW,West Ham,20-125,2004,0.5,0,4,2,50,4,2,0,0,18.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
166,Evan Ferguson,ie IRL,FW,Brighton,20-125,2004,2.7,0.37,2.59,0.74,28.6,2.56,0.73,0.14,0.5,19.2,0.37,0,0,0.19,0.19,0.08,0.19,0.19,Matches
167,Bruno Fernandes,pt POR,MF,Manchester Utd,30-166,1994,22.4,0.22,2.77,0.67,24.2,2.77,0.67,0.03,0.13,21.2,0.31,0.13,0.13,0.35,0.25,0.09,-0.13,-0.16,Matches
168,Mateus Fernandes,pt POR,MF,Southampton,20-226,2004,20.3,0.05,1.23,0.49,40,1.23,0.49,0.04,0.1,16.4,0.15,0,0,0.15,0.15,0.12,-0.1,-0.1,Matches
169,Enzo Fernandez,ar ARG,MF,Chelsea,24-035,2001,19.8,0.15,1.41,0.45,32.1,1.41,0.45,0.11,0.33,18,0.1,0,0,0.15,0.15,0.1,0.01,0.01,Matches
170,Mark Flekken,nl NED,GK,Brentford,31-253,1993,23.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
171,Phil Foden,eng ENG,"MF,FW",Manchester City,24-269,2000,16,0.44,2.88,0.88,30.4,2.88,0.88,0.15,0.5,18.3,0.06,0,0,0.29,0.29,0.1,0.15,0.15,Matches
172,Wesley Fofana,fr FRA,DF,Chelsea,24-066,2000,11.3,0,0.18,0,0,0.18,0,0,,10.4,0,0,0,0.04,0.04,0.2,-0.04,-0.04,Matches
173,Carlos Forbs,pt POR,"MF,FW",Wolves,20-339,2004,2.6,0,0.77,0,0,0.76,0,0,,19.1,0,0,0,0.04,0.04,0.07,-0.04,-0.04,Matches
174,Fraser Forster,eng ENG,GK,Tottenham,36-341,1988,7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
175,Ryan Fraser,sct SCO,"FW,DF",Southampton,30-363,1994,3.4,0,0.29,0.29,100,0.29,0.29,0,0,31.6,0,0,0,0,0,0.03,0,0,Matches
176,Niclas Fullkrug,de GER,FW,West Ham,32-012,1993,4.1,0.49,1.95,0.73,37.5,1.95,0.73,0.25,0.67,10.3,0,0,0,0.34,0.34,0.18,0.15,0.15,Matches
177,Cody Gakpo,nl NED,FW,Liverpool,25-290,1999,15.2,0.53,2.76,1.12,40.5,2.76,1.12,0.19,0.47,15.6,0,0,0,0.36,0.36,0.13,0.16,0.16,Matches
178,Idrissa Gana Gueye,sn SEN,MF,Everton,35-148,1989,21.4,0,0.98,0.14,14.3,0.98,0.14,0,0,24.9,0,0,0,0.04,0.04,0.04,-0.04,-0.04,Matches
179,Andres Garcia,es ESP,DF,Aston Villa,22-014,2003,2.2,0,0.91,0,0,0.9,0,0,,26.6,0,0,0,0,0,0.02,0,0,Matches
180,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,20-235,2004,15.7,0.19,3.5,1.4,40,3.51,1.4,0.05,0.14,16.3,0,0,0,0.34,0.34,0.1,-0.15,-0.15,Matches
181,James Garner,eng ENG,"MF,DF",Everton,23-345,2001,5.8,0,0.52,0.17,33.3,0.52,0.17,0,0,23.3,0.17,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
182,Tyrique George,eng ENG,FW,Chelsea,19-017,2006,0.4,0,2.5,0,0,2.73,0,0,,10.2,0,0,0,0.25,0.25,0.06,-0.25,-0.25,Matches
183,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-025,2000,18.4,0.27,1.9,0.82,42.9,1.9,0.81,0.14,0.33,15.9,0.16,0,0,0.18,0.18,0.1,0.09,0.09,Matches
184,Billy Gilmour,sct SCO,MF,Brighton,23-255,2001,1.1,0,0.91,0,0,0.92,0,0,,25.5,0.91,0,0,0.09,0.09,0.08,-0.09,-0.09,Matches
185,Ben Godfrey,eng ENG,DF,Ipswich Town,27-037,1998,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
186,Martial Godo,eng ENG,FW,Fulham,21-344,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
187,Joao Gomes,br BRA,MF,Wolves,24-009,2001,21.5,0.09,0.88,0.28,31.6,0.88,0.28,0.11,0.33,18.2,0,0,0,0.08,0.08,0.09,0.01,0.01,Matches
188,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-229,2003,6.3,0.16,0.63,0.32,50,0.63,0.32,0.25,0.5,15.9,0,0,0,0.06,0.06,0.09,0.1,0.1,Matches
189,Toti Gomes,pt POR,DF,Wolves,26-036,1999,16,0,0.13,0,0,0.12,0,0,,25.7,0,0,0,0,0,0.01,0,0,Matches
190,Diego Gómez,py PAR,MF,Brighton,21-331,2003,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
191,Joe Gomez,eng ENG,DF,Liverpool,27-274,1997,5.8,0,0.52,0.34,66.7,0.52,0.35,0,0,11.9,0,0,0,0.05,0.05,0.11,-0.05,-0.05,Matches
192,Nicolas Gonzalez,es ESP,MF,Manchester City,23-049,2002,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
193,Anthony Gordon,eng ENG,FW,Newcastle Utd,23-363,2001,21.4,0.28,2.29,0.7,30.6,2.29,0.7,0.1,0.33,16.3,0,0.05,0.09,0.35,0.27,0.12,-0.07,-0.04,Matches
194,Ryan Gravenberch,nl NED,MF,Liverpool,22-281,2002,24.7,0,0.53,0.12,23.1,0.53,0.12,0,0,23.5,0,0,0,0.04,0.04,0.07,-0.04,-0.04,Matches
195,Archie Gray,eng ENG,DF,Tottenham,18-346,2006,10.8,0,0.09,0.09,100,0.09,0.09,0,0,24.6,0,0,0,0,0,0.02,0,0,Matches
196,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-164,1995,6.8,0,1.91,0.59,30.8,1.92,0.59,0,0,16.7,0,0,0,0.12,0.12,0.06,-0.12,-0.12,Matches
197,Jacob Greaves,eng ENG,DF,Ipswich Town,24-162,2000,15,0.07,0.47,0.2,42.9,0.47,0.2,0.14,0.33,9.1,0,0,0,0.05,0.05,0.1,0.02,0.02,Matches
198,Brajan Gruda,de GER,"FW,MF",Brighton,20-266,2004,4.1,0,0.73,0.49,66.7,0.74,0.49,0,0,18.6,0.49,0,0,0.07,0.07,0.1,-0.07,-0.07,Matches
199,Albert Gronbaek,dk DEN,MF,Southampton,23-274,2001,0.8,0,2.5,0,0,2.61,0,0,,22.4,0,0,0,0.13,0.13,0.06,-0.13,-0.13,Matches
200,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-084,1996,8.2,0.24,2.2,0.85,38.9,2.19,0.85,0.11,0.29,19.9,0,0,0,0.27,0.27,0.12,-0.02,-0.02,Matches
201,Marc Guehi,eng ENG,DF,Crystal Palace,24-223,2000,24,0.13,0.46,0.25,54.5,0.46,0.25,0.27,0.5,9.5,0,0,0,0.07,0.07,0.14,0.06,0.06,Matches
202,Luis Guilherme,br BRA,"MF,FW",West Ham,19-012,2006,0.6,0,1.67,0,0,1.58,0,0,,23.7,0,0,0,0,0,0.03,0,0,Matches
203,Bruno Guimaraes,br BRA,MF,Newcastle Utd,27-097,1997,24,0.08,1.21,0.25,20.7,1.21,0.25,0.07,0.33,17.9,0,0,0,0.09,0.09,0.08,-0.01,-0.01,Matches
204,Marc Guiu,es ESP,FW,Chelsea,19-048,2006,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
205,Ilkay Gundogan,de GER,MF,Manchester City,34-120,1990,15.9,0,1.01,0.25,25,1.01,0.25,0,0,18.4,0.13,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
206,Malo Gusto,fr FRA,DF,Chelsea,21-278,2003,15.2,0,1.18,0.13,11.1,1.19,0.13,0,0,21.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
207,Josko Gvardiol,hr CRO,DF,Manchester City,23-029,2002,23.4,0.21,1.45,0.47,32.4,1.45,0.47,0.15,0.45,13.4,0,0,0,0.18,0.16,0.11,0.03,0.05,Matches
208,Erling Haaland,no NOR,FW,Manchester City,24-215,2000,24.6,0.77,3.74,2.07,55.4,3.75,2.08,0.2,0.35,12,0.04,0.04,0.08,0.74,0.68,0.19,0.03,0.05,Matches
209,Lewis Hall,eng ENG,DF,Newcastle Utd,20-166,2004,22.3,0,0.49,0.04,9.1,0.49,0.04,0,0,18.8,0,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
210,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22-357,2002,1.5,0,2.67,0,0,2.69,0,0,,15.7,0,0,0,0.27,0.27,0.09,-0.27,-0.27,Matches
211,Marcus Harness,eng ENG,MF,Ipswich Town,28-363,1996,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
212,Jack Harrison,eng ENG,FW,Everton,28-093,1996,12.8,0,1.41,0.31,22.2,1.4,0.31,0,0,15.4,0,0,0,0.19,0.19,0.13,-0.19,-0.19,Matches
213,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-022,2002,21.1,0.05,0.76,0.28,37.5,0.76,0.28,0.06,0.17,10.3,0,0,0,0.08,0.08,0.1,-0.03,-0.03,Matches
214,Kai Havertz,de GER,"FW,MF",Arsenal,25-255,1999,20.4,0.44,2.55,1.03,40.4,2.54,1.03,0.17,0.43,11.7,0,0,0,0.46,0.46,0.18,-0.02,-0.02,Matches
215,Jan Paul van Hecke,nl NED,DF,Brighton,24-258,2000,21.9,0,0.46,0.09,20,0.46,0.09,0,0,15.6,0,0,0,0.04,0.04,0.08,-0.04,-0.04,Matches
216,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-026,1996,6.9,0.29,0.72,0.43,60,0.73,0.44,0.4,0.67,17.4,0,0,0,0.12,0.12,0.16,0.17,0.17,Matches
217,Dean Henderson,eng ENG,GK,Crystal Palace,27-346,1997,25,0,0.04,0,0,0.04,0,0,,14.9,0,0,0,0,0,0.01,0,0,Matches
218,Rico Henry,eng ENG,DF,Brentford,27-228,1997,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
219,Mads Hermansen,dk DEN,GK,Leicester City,24-225,2000,17.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
220,Son Heung-min,kr KOR,FW,Tottenham,32-228,1992,18.6,0.32,2.37,1.13,47.7,2.37,1.13,0.14,0.29,17.5,0.05,0,0.05,0.28,0.24,0.1,0.04,0.09,Matches
221,James Hill,eng ENG,"DF,MF",Bournemouth,23-042,2002,2,0,0.5,0,0,0.5,0,0,,26.1,0,0,0,0,0,0.01,0,0,Matches
222,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-316,2005,10.8,0.09,0.74,0.28,37.5,0.74,0.28,0.13,0.33,15.5,0,0,0,0.07,0.07,0.1,0.02,0.02,Matches
223,George Hirst,eng ENG,FW,Ipswich Town,26-006,1999,2.6,0.38,1.54,1.15,75,1.57,1.17,0.25,0.33,9.6,0,0,0,0.38,0.38,0.24,0,0,Matches
224,Mason Holgate,eng ENG,"FW,DF",Everton,28-122,1996,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
225,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-106,2000,17.2,0.17,1.63,0.64,39.3,1.63,0.64,0.11,0.27,18.4,0,0,0,0.12,0.12,0.07,0.06,0.06,Matches
226,Will Hughes,eng ENG,MF,Crystal Palace,29-310,1995,16.6,0,0.9,0.06,6.7,0.9,0.06,0,0,23.1,0,0,0,0.05,0.05,0.06,-0.05,-0.05,Matches
227,Dean Huijsen,es ESP,DF,Bournemouth,19-313,2005,14.8,0.14,0.74,0.14,18.2,0.74,0.13,0.18,1,10.1,0,0,0,0.1,0.1,0.13,0.03,0.03,Matches
228,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-114,2003,21.7,0.09,1.34,0.6,44.8,1.34,0.6,0.07,0.15,20.5,0.09,0,0,0.08,0.08,0.06,0.01,0.01,Matches
229,Rasmus Hojlund,dk DEN,FW,Manchester Utd,22-017,2003,13.3,0.15,1.2,0.6,50,1.2,0.6,0.13,0.25,14.4,0,0,0,0.19,0.19,0.16,-0.04,-0.04,Matches
230,Igor,br BRA,DF,Brighton,27-014,1998,10,0,0.1,0,0,0.1,0,0,,14.1,0,0,0,0,0,0.05,0,0,Matches
231,Danny Ings,eng ENG,"FW,MF",West Ham,32-213,1992,3.1,0.32,4.52,1.61,35.7,4.55,1.62,0.07,0.2,15.5,0,0,0,0.74,0.74,0.16,-0.42,-0.42,Matches
232,Tim Iroegbunam,eng ENG,MF,Everton,21-236,2003,4.6,0,1.09,0,0,1.09,0,0,,22.5,0,0,0,0.04,0.04,0.05,-0.04,-0.04,Matches
233,Andy Irving,sct SCO,MF,West Ham,24-284,2000,1.8,0,2.22,1.11,50,2.18,1.09,0,0,26.2,0,0,0,0.06,0.06,0.03,-0.06,-0.06,Matches
234,Alexander Isak,se SWE,FW,Newcastle Utd,25-153,1999,21,0.81,3.05,1.43,46.9,3.05,1.43,0.25,0.53,14.6,0.14,0.05,0.05,0.68,0.64,0.21,0.13,0.12,Matches
235,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-294,1996,23.4,0.3,2.09,0.94,44.9,2.1,0.94,0.14,0.32,18.2,0,0,0,0.15,0.15,0.07,0.15,0.15,Matches
236,Nicolas Jackson,sn SEN,FW,Chelsea,23-246,2001,19.3,0.47,3.26,1.55,47.6,3.27,1.56,0.14,0.3,12.2,0,0,0,0.59,0.59,0.18,-0.12,-0.12,Matches
237,Reece James,eng ENG,DF,Chelsea,25-075,1999,5.7,0.18,0.7,0.18,25,0.71,0.18,0.25,1,23.8,0.18,0,0,0.02,0.02,0.03,0.16,0.16,Matches
238,Vitaly Janelt,de GER,MF,Brentford,26-287,1998,19.9,0.05,0.6,0.2,33.3,0.6,0.2,0.08,0.25,19.4,0,0,0,0.03,0.03,0.05,0.02,0.02,Matches
239,Vitezslav Jaros,cz CZE,GK,Liverpool,23-213,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
240,Daniel Jebbison,eng ENG,"FW,MF",Bournemouth,21-192,2003,0.7,0,2.86,1.43,50,2.9,1.45,0,0,12.3,0,0,0,0.29,0.29,0.1,-0.29,-0.29,Matches
241,Mathias Jensen,dk DEN,MF,Brentford,29-051,1996,8,0,0.75,0.13,16.7,0.75,0.12,0,0,23.1,0,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
242,Gabriel Jesus,br BRA,FW,Arsenal,27-324,1997,6.8,0.44,2.94,1.03,35,2.96,1.04,0.15,0.43,11.1,0,0,0,0.44,0.44,0.15,0,0,Matches
243,Raul Jimenez,mx MEX,FW,Fulham,33-292,1991,17.7,0.51,3.73,1.3,34.8,3.72,1.3,0.09,0.26,14.6,0,0.17,0.17,0.51,0.38,0.1,-0.01,-0.05,Matches
244,Kim Jisoo,kr KOR,DF,Brentford,20-059,2004,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
245,Joao Pedro,br BRA,"FW,MF",Brighton,23-148,2001,15.1,0.33,2.12,0.79,37.5,2.12,0.8,0.13,0.33,16.3,0,0.07,0.07,0.28,0.23,0.11,0.05,0.03,Matches
246,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-191,1996,21.3,0.19,1.83,0.52,28.2,1.83,0.52,0.1,0.36,13.9,0,0,0,0.17,0.17,0.09,0.01,0.01,Matches
247,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-028,2000,10.2,0,0.29,0.2,66.7,0.29,0.2,0,0,14.4,0,0,0,0.04,0.04,0.13,-0.04,-0.04,Matches
248,Brennan Johnson,wls WAL,FW,Tottenham,23-274,2001,16.9,0.41,2.66,0.95,35.6,2.67,0.95,0.16,0.44,11.7,0,0,0,0.47,0.47,0.18,-0.06,-0.06,Matches
249,Sam Johnstone,eng ENG,GK,Wolves,31-333,1993,7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
250,Curtis Jones,eng ENG,MF,Liverpool,24-022,2001,11.6,0.26,1.98,0.86,43.5,1.98,0.86,0.13,0.3,15.4,0,0,0,0.3,0.3,0.15,-0.04,-0.04,Matches
251,Jorginho,it ITA,MF,Arsenal,33-063,1991,5.3,0,0.19,0,0,0.19,0,0,,22.5,0,0,0,0,0,0.04,0,0,Matches
252,Diogo Jota,pt POR,FW,Liverpool,28-079,1996,8.4,0.6,4.17,1.31,31.4,4.14,1.3,0.14,0.45,12.6,0,0,0,0.73,0.73,0.17,-0.13,-0.13,Matches
253,James Justin,eng ENG,DF,Leicester City,26-364,1998,22.4,0.09,0.98,0.27,27.3,0.98,0.27,0.09,0.33,15.1,0.04,0,0,0.06,0.06,0.06,0.03,0.03,Matches
254,Filip Jorgensen,dk DEN,GK,Chelsea,22-311,2002,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
255,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-137,1999,4.3,0.23,0.93,0.23,25,0.94,0.23,0.25,1,15.1,0,0,0,0.09,0.09,0.11,0.14,0.14,Matches
256,Daichi Kamada,jp JPN,MF,Crystal Palace,28-200,1996,10.4,0,1.25,0.38,30.8,1.25,0.38,0,0,20.5,0,0,0,0.07,0.07,0.05,-0.07,-0.07,Matches
257,Boubacar Kamara,fr FRA,"MF,DF",Aston Villa,25-090,1999,11.7,0,0.43,0.09,20,0.43,0.09,0,0,20.1,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
258,Michael Kayode,it ITA,DF,Brentford,20-226,2004,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
259,Michael Keane,eng ENG,DF,Everton,32-041,1993,9,0.22,0.89,0.33,37.5,0.89,0.33,0.25,0.67,14.8,0,0,0,0.04,0.04,0.05,0.18,0.18,Matches
260,Caoimhin Kelleher,ie IRL,GK,Liverpool,26-090,1998,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
261,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-138,1998,3.4,0,0.88,0,0,0.89,0,0,,7.3,0,0,0,0.12,0.12,0.14,-0.12,-0.12,Matches
262,Milos Kerkez,hu HUN,DF,Bournemouth,21-106,2003,24.2,0.08,0.58,0.12,21.4,0.58,0.12,0.14,0.67,20.6,0,0,0,0.02,0.02,0.03,0.06,0.07,Matches
263,Bilal El Khannouss,ma MAR,MF,Leicester City,20-287,2004,13.2,0.15,1.14,0.23,20,1.14,0.23,0.13,0.67,23.5,0,0,0,0.04,0.04,0.03,0.11,0.11,Matches
264,Abdukodir Khusanov,uz UZB,DF,Manchester City,20-358,2004,1.6,0,0.63,0,0,0.63,0,0,,23.9,0,0,0,0,0,0.02,0,0,Matches
265,Max Kilman,eng ENG,DF,West Ham,27-274,1997,24.2,0,0.41,0.08,20,0.41,0.08,0,0,7.9,0,0,0,0.06,0.06,0.14,-0.06,-0.06,Matches
266,Joshua King,eng ENG,"MF,FW",Fulham,18-049,2007,0.9,0,1.11,0,0,1.13,0,0,,5.3,0,0,0,0.22,0.22,0.2,-0.22,-0.22,Matches
267,Antonin Kinsky,cz CZE,GK,Tottenham,21-345,2003,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
268,Jakub Kiwior,pl POL,DF,Arsenal,25-006,2000,3.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
269,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-292,1999,17.8,0.62,2.47,1.07,43.2,2.47,1.06,0.11,0.26,20.1,0,0.34,0.34,0.49,0.23,0.09,0.12,0.05,Matches
270,Ibrahima Konaté,fr FRA,DF,Liverpool,25-272,1999,18,0.06,0.61,0.11,18.2,0.61,0.11,0.09,0.5,11.2,0,0,0,0.06,0.06,0.09,0,0,Matches
271,Ezri Konsa,eng ENG,DF,Aston Villa,27-121,1997,21.1,0.05,0.24,0.09,40,0.24,0.09,0.2,0.5,9.1,0,0,0,0.03,0.03,0.12,0.02,0.02,Matches
272,Mateo Kovacic,hr CRO,MF,Manchester City,30-291,1994,17.2,0.23,1.86,0.47,25,1.86,0.46,0.13,0.5,22,0,0,0,0.08,0.08,0.04,0.15,0.15,Matches
273,Caleb Kporha,eng ENG,DF,Crystal Palace,18-221,2006,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
274,Emil Krafth,se SWE,DF,Newcastle Utd,30-203,1994,2.7,0,0.37,0,0,0.37,0,0,,14.6,0,0,0,0,0,0.03,0,0,Matches
275,Mohammed Kudus,gh GHA,"MF,FW",West Ham,24-203,2000,18.4,0.16,2.99,0.82,27.3,2.99,0.82,0.05,0.2,15.2,0,0,0,0.28,0.28,0.09,-0.11,-0.11,Matches
276,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-302,2000,22.7,0.26,1.85,0.66,35.7,1.85,0.66,0.14,0.4,14.6,0,0,0,0.18,0.18,0.1,0.09,0.09,Matches
277,Maxence Lacroix,fr FRA,DF,Crystal Palace,24-321,2000,21.9,0.05,0.96,0.18,19,0.96,0.18,0.05,0.25,12.1,0,0,0,0.09,0.09,0.09,-0.04,-0.04,Matches
278,Adam Lallana,eng ENG,MF,Southampton,36-287,1988,3.8,0,0.79,0,0,0.79,0,0,,18.1,0,0,0,0.05,0.05,0.06,-0.05,-0.05,Matches
279,Tariq Lamptey,gh GHA,DF,Brighton,24-144,2000,6.8,0.29,0.88,0.29,33.3,0.89,0.3,0.33,1,18.5,0,0,0,0.06,0.06,0.06,0.24,0.24,Matches
280,Will Lankshear,eng ENG,"FW,MF",Tottenham,19-307,2005,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
281,Romeo Lavia,be BEL,MF,Chelsea,21-046,2004,5.9,0,0.17,0,0,0.17,0,0,,16,0,0,0,0.03,0.03,0.18,-0.03,-0.03,Matches
282,Mario Lemina,ga GAB,"MF,DF",Wolves,31-173,1993,15.2,0.07,1.18,0.33,27.8,1.19,0.33,0.06,0.2,21.9,0,0,0,0.09,0.09,0.08,-0.03,-0.03,Matches
283,Bernd Leno,de GER,GK,Fulham,32-354,1992,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
284,Jefferson Lerma,co COL,MF,Crystal Palace,30-119,1994,14.9,0,1.34,0.47,35,1.35,0.47,0,0,20.4,0,0,0,0.05,0.05,0.04,-0.05,-0.05,Matches
285,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-092,2004,16.6,0.06,0.54,0.12,22.2,0.54,0.12,0.11,0.5,17.1,0,0,0,0.07,0.07,0.13,-0.01,-0.01,Matches
286,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,23-365,2001,22.3,0.04,1.03,0.54,52.2,1.03,0.54,0.04,0.08,19.7,0.04,0,0,0.11,0.11,0.11,-0.06,-0.06,Matches
287,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-148,2006,7,0.14,0.14,0.14,100,0.14,0.14,1,1,13.9,0,0,0,0,0,0.04,0.14,0.14,Matches
288,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-193,1999,18.2,0.05,0.82,0.33,40,0.82,0.33,0.07,0.17,8.4,0,0,0,0.1,0.1,0.13,-0.05,-0.05,Matches
289,Pedro Lima,br BRA,DF,Wolves,18-235,2006,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
290,Victor Lindelof,se SWE,"DF,MF",Manchester Utd,30-219,1994,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
291,Jesper Lindstrom,dk DEN,FW,Everton,24-358,2000,11.4,0,2.37,0.88,37,2.37,0.88,0,0,20.7,0.53,0,0,0.18,0.18,0.08,-0.18,-0.18,Matches
292,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-101,2002,18.8,0,0.16,0.05,33.3,0.16,0.05,0,0,20.3,0,0,0,0.01,0.01,0.04,-0.01,-0.01,Matches
293,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-114,1997,8.2,0,0.73,0.12,16.7,0.73,0.12,0,0,13.5,0,0,0,0.07,0.07,0.1,-0.07,-0.07,Matches
294,Sasa Lukic,rs SRB,MF,Fulham,28-192,1996,17.6,0,0.63,0.06,9.1,0.63,0.06,0,0,19,0,0,0,0.05,0.05,0.07,-0.05,-0.05,Matches
